name,population_size,speed,average_weight,diet,location
Scarlet Macaw,"20,000 - 50,000",35 mph,2lbs,Omnivore,-
Schipperke,-,-,16 lbs,Omnivore,-
Schneagle,-,-,25 lbs,Omnivore,-
Schnoodle,-,-,-,Omnivore,-
Scimitar-horned Oryx,-,MPH mph,200 to 460 lbs,Herbivore,-
Scorpion,-,12 mph,10-100g (0.4-3.5oz),Carnivore,-
Scorpion Fish,Not known,-,3.4 pounds,Omnivore,-
Scottish Terrier,-,-,22 lbs,Omnivore,-
Scrotum Frog,As few as 45,-,nine ounces to two pounds,Carnivore,-
Sea Roach,Unknown,-,Less than one ounce,Omnivore,-
Sea Urchin,-,-,-,Omnivore,-
Silkie Chicken,-,-,1.5-3 pounds,Omnivore,-
Skipjack Tuna,Millions,40 mph,7lbs – 40lbs,Carnivore,-
Smokybrown Cockroach,-,3 mph,0.105 g,Omnivore,-
Snouted Cobra,-,-,-,Carnivore,-
Snow Crab,Unknown,-,5 - 7 pounds,Carnivore,-
Sockeye Salmon,Unknown,-,Up to 9.3 pounds,Carnivore,-
South China Tiger,-,60 mph,100kg - 195kg (221lbs - 430lbs),Carnivore,-
Southern Black Racer,-,-,-,Carnivore,-
Southern Pacific Rattlesnake,-,-,-,Carnivore,-
Spectacled Bear,-,30 mph,130kg - 200kg (286lbs - 440lbs),Omnivore,-
Spitting Cobra,-,-,-,Carnivore,-
Spixs Macaw,At least 160,-,360g (12.7oz),Omnivore,-
Standard Schnauzer,-,-,30-50,Omnivore,-
Steller’s Sea Cow,-,-,8000kg (8.8tons),Herbivore,-
Stick Insect,-,-,-,Herbivore,-
Stone Crab,Unknown,-,-,Carnivore,-
Striped Rocket Frog,-,5 mph,5g - 8g (0.17oz - 0.28oz),Carnivore,-
Sucker Fish,-,-,Maximum of 80 pounds (bigmouth buffalo),Omnivore,-
Sulcata Tortoise,"Unknown, but the animal is listed as vulnerable or endangered",0.3 mph,79 to 200 pounds,Herbivore,-
Sumatran Rhinoceros,-,30 mph,"500kg - 800kg (1,100lbs - 1,760lbs)",Herbivore,-
Taco Terrier,-,-,8 lbs,Omnivore,-
Telescope Fish,Unknown,-,-,Omnivore,-
Thai Ridgeback,-,-,75lbs,Omnivore,-
Tick,-,-,-,Carnivore,-
Timber Rattlesnake (Canebrake Rattlesnake),-,-,-,Carnivore,-
Tire Track Eel,Unknown,-,3 - 5 pounds,Carnivore,-
Toucan,-,39 mph,130g - 680g (4.6oz - 24oz),Omnivore,-
Treecreeper,"40,000,000-79,999,999",20 mph,0.2-0.38 ounces,Omnivore,-
Treeing Walker Coonhound,-,-,70 lbs,Omnivore,-
Tropicbird,-,30 mph,0.3kg - 0.7kg (0.6lbs - 1.5lbs),Carnivore,-
Vicuña,"350,000 adults",-,88-132lbs,Herbivore,-
Virgin Islands Dwarf Gecko,Unknown,-,0.15g (0.0053oz),Carnivore,-
Walking Catfish,-,-,2lbs,Omnivore,-
Wels Catfish,Unknown,-,Up to 500 lbs,Omnivore,-
Welsh Corgi,-,-,14kg (30lbs),Omnivore,-
Western Diamondback Rattlesnake,-,-,-,Carnivore,-
Whinchat,"47,000 pairs in the United Kingdom",-,0.46 to 0.92 ounces,Omnivore,-
White Rhinoceros,-,30 mph,"1,440-3,600kg (3,168-7,920lbs)",Herbivore,-
White-Faced Capuchin,-,35 mph,2.9-3.9kg (6.4-8.6lbs),Omnivore,-
Whooping Crane,50 to 250,-,-,Omnivore,-
Wood Tick,-,-,-,Omnivore,-
Woodpecker,-,15 mph,7-600g (0.2-21oz),Omnivore,-
Xoloitzcuintli,-,-,55 pounds,Omnivore,-
Yellow Anaconda,-,-,Adults weigh 55-80 pounds,Carnivore,-
Yellow Sac Spider,-,-,-,Carnivore,-
Yeti Crab,Unknown,-,2lbs – 5lbs,Carnivore,-
Yorkie Bichon,-,-,6 to 8 pounds,Omnivore,-
Zebra Finch,Unknown,-,12g,Omnivore,-
Zebra Pleco,Unknown,-,-,Omnivore,-
Zuchon,-,-,-,Omnivore,-
